"Missingness_Mech","Trt_Assignment","Trt_Effect_Size","Include_Y_in_Imputation","Complete.Data","CCA","W_MI5","A_MI5","W_MI20","A_MI20","W_MI50","A_MI50"
1,1,0,1,5.00142827021298,6.01014858499908,5.38046135669121,5.29595674390137,5.3806264262863,5.30085205125239,5.37703026284429,5.3031314621815
1,1,1,0,5.00080273559395,6.28456764978892,6.46653637804486,6.16128974468759,6.45669690188492,6.05471681086574,6.46143441131344,6.05734616052652
1,1,1,1,5.00124149294962,6.28845101936132,5.64790319898669,5.57933037451773,5.6532333339184,5.57700404795653,5.65859469271829,5.58677168544194
1,1,2,0,4.99550339288941,6.15300308474807,6.32666971941231,5.98632879549384,6.32908638350133,5.91037811260219,6.3343352555692,5.88715287868261
1,1,2,1,5.00271969631674,6.13833586745486,5.52947224540483,5.4508109869582,5.52030898947578,5.43012116763159,5.52344505163031,5.43803513198577
1,2,0,0,4.99992716580455,6.31334010639612,6.01322367748751,5.90238069718314,6.01687013217627,5.85173464800949,6.02078594546965,5.84945601024499
1,2,0,1,4.99822684161886,6.25670621560659,5.27474066908608,5.13184065174735,5.27392597097366,5.09031437562109,5.27571197584219,5.09040248775642
1,2,1,0,4.99780622838158,6.3073494439331,5.99020029314276,5.84906124944011,5.98980062496946,5.81715953158893,5.99427579661765,5.80790590874483
1,2,1,1,4.99921062692395,6.33412497223861,5.30424587972493,5.15613537771395,5.30075066557006,5.12569354900792,5.3011115934846,5.12502710136062
1,2,2,0,5.00523664650735,6.31345455670053,6.02203453368199,5.8942578264982,6.01883642416612,5.8485783621796,6.01817098769696,5.84869187901413
1,2,2,1,5.00136109354168,6.27486671820061,5.28150129969852,5.13417896568645,5.27506117423954,5.11056602285811,5.27704838463353,5.10342071475925
1,3,0,0,5.00304446172686,5.41390696189027,5.34142695638083,5.30551975497407,5.33870563465025,5.28586155306946,5.3369199563697,5.25227463783138
1,3,0,1,5.00557757051674,5.39224601886274,4.97490637037212,4.93450191366375,4.9854857023471,4.90225677879659,4.98043124053575,4.90605641232002
1,3,1,0,4.99749827848035,5.37212847832084,5.33528575411825,5.28492327876291,5.32846052215673,5.23645732591212,5.32613560665982,5.23964430156123
